number of partitions,execution time
64,500.4240766763687
125,495.2123668193817
216,491.1326084136963
343,572.8594609498978
512,584.7628846168518
729,607.4756737947464
1000,625.754133105278
1331,633.9416332244873
2744,613.8940982818604
4096,640.5825442075729
