number of partitions,execution time
60,14887.055350473503
120,14617.38798237972
240,14674.444313016113
360,14705.632805260915
600,14917.744010739934
840,14980.60725237306
960,15008.232929430704
1080,15037.115884770075
1200,15101.687116415776
2400,15112.093305171718
3600,15129.711741480534
