number of partitions,execution time
60,14921.460623340687
120,14764.41475428037
240,13120.340886956845
360,13249.961820894787
600,14890.432992922584
840,15030.950112885635
960,15150.392127890636
1080,16655.18479086031
1200,15160.240682229163
2400,15563.502295615124
3600,15949.005595379918
