number of partitions,execution time
64,1600.3378833266054
125,1502.127427912
216,1563.3973739879605
343,1609.4424025788787
512,1684.6110459411007
729,1804.459318886039
1000,1880.0925277612175
1331,2007.7760573800408
2744,2158.2891807948563
4096,2275.3337541756
