number of partitions,execution time
60,11.18427038192749
120,11.839988231658936
240,17.086942195892334
360,23.859612941741943
600,35.93229532241821
840,36.731395721435554
960,43.49132537841797
1080,50.696796894073486
1200,55.409674644470215
2400,96.30044460296631
3600,122.3815727233887
