number of partitions,execution time
64,92.35905647277832
125,91.43419742584229
216,92.59036540985107
343,120.83888053894043
512,161.60847187042236
729,208.20704460144043
1000,231.29947185516357
1331,288.55048418045044
2744,307.6230454444885
4096,320.0151014328003
