number of partitions,execution time
60,71.61306381225586
120,101.01486444473267
240,50.08384704589844
360,51.510751247406006
600,98.8128399848938
840,140.96217155456543
960,208.0236268043518
1080,218.90745162963867
1200,239.9695110321045
2400,253.7540864944458
3600,300.9170627593994
