number of partitions,execution time
60,45.75865030288696
120,16.65597915649414
240,19.2059063911438
360,25.1759934425354
600,36.9579553604126
840,47.792978286743164
960,53.60759258270264
1080,60.357866287231445
1200,66.02940082550049
2400,170.38936138153076
3600,189.38503503799438
