number of partitions,execution time
60,1845.445070134136
120,1661.896975594994
240,1805.0326112618648
360,1870.483260456993
600,1950.4105859800657
840,2000.6857007312624
960,2300.406857277089
1080,2589.040809732917
1200,2753.936578737212
2400,2980.650912123354
3600,3120.7581467241052
