number of partitions,execution time
60,267.7401325702667
120,337.4292862415314
240,452.4095492362976
360,532.7965788841248
600,661.295871257782
840,763.8746836185455
960,808.1175518035889
1080,862.6570751667023
1200,895.0635135173798
2400,1197.3552479743958
3600,1398.9363493919373
